Date,Open,High,Low,Close,Volume
2013-02-08,65.62,66.14,65.62,66.09,1582785
2013-02-11,65.96,66.25,65.78,66.12,1446674
2013-02-12,66.34,66.56,65.91,66.34,993566
2013-02-13,66.46,66.75,65.54,65.76,1460981
2013-02-14,65.42,66.24,65.27,65.8,1840019
2013-02-15,65.5,65.74,65.399,65.63,1639957
2013-02-19,65.75,66.29,65.65,66.2,1951429
2013-02-20,66.14,66.95,66.01,66.04,1705482
2013-02-21,65.96,65.96,65.13,65.37,1437988
2013-02-22,65.46,66.325,65.44,65.97,1504097
2013-02-25,66.21,66.665,64.75,64.75,1536896
2013-02-26,65.06,65.2,64.45,65.06,1326055
2013-02-27,64.93,66.31,64.82,65.97,1713548
2013-02-28,65.76,66.168,65.44,65.68,2081688
2013-03-01,65.39,65.88,64.67,65.52,2171045
2013-03-04,65.29,65.41,64.2,64.38,1998868
2013-03-05,64.71,65.23,64.5,64.91,1965010
2013-03-06,64.96,65.32,64.64,64.96,2133302
2013-03-07,65.13,65.7,65.02,65.27,1818620
2013-03-08,65.5,66.02,65.5,65.96,1764049
2013-03-11,65.95,66.26,65.9,66.12,2001920
2013-03-12,66.16,66.41,65.95,66.23,1070791
2013-03-13,66.29,67.415,66.18,67.18,1939651
2013-03-14,67.35,67.74,67.09,67.54,1557848
2013-03-15,67.32,68.83,67.23,68.8,4387289
2013-03-18,68.22,68.97,68.15,68.43,1478222
2013-03-19,68.65,68.72,67.95,68.44,1249322
2013-03-20,68.75,68.99,68.51,68.64,1184503
2013-03-21,68.27,68.75,67.73,68.0,995701
2013-03-22,68.14,68.44,67.85,68.05,802951
2013-03-25,68.28,68.53,67.77,67.91,1321576
2013-03-26,68.28,69.36,68.28,69.29,1844801
2013-03-27,68.94,70.0,68.54,69.9,2038804
2013-03-28,69.87,70.21,69.4599,70.15,1695899
2013-04-01,70.1,70.535,69.59,69.9,2065980
2013-04-02,70.19,70.21,69.13,69.4,1286987
2013-04-03,69.51,70.5443,69.41,70.18,2386126
