Date,Open,High,Low,Close,Volume
2013-02-08,35.28,35.53,35.05,35.32,3296565
2013-02-11,35.38,35.69,35.0,35.4,2999864
2013-02-12,35.2,35.35,34.78,35.14,3122384
2013-02-13,35.36,35.49,34.89,35.17,2658949
2013-02-14,35.09,35.67,34.99,35.64,3237126
2013-02-15,35.58,35.78,34.98,35.14,2531614
2013-02-19,35.0,35.55,34.8,35.545,2439532
2013-02-20,35.48,35.73,34.67,34.67,3326153
2013-02-21,34.47,34.675,32.96,33.67,6185262
2013-02-22,33.97,34.47,33.71,34.09,1896307
2013-02-25,34.13,34.225,32.94,32.95,3063134
2013-02-26,33.13,33.4,32.66,33.13,3455298
2013-02-27,33.8,34.37,33.63,33.69,3597093
2013-02-28,33.69,34.31,33.33,34.22,3478535
2013-03-01,33.92,34.09,33.261,33.7,3149992
2013-03-04,33.56,33.7,33.01,33.54,1700436
2013-03-05,33.7,34.36,33.68,34.33,3050936
2013-03-06,34.31,34.77,34.21,34.71,2460909
2013-03-07,34.69,35.13,34.4,34.97,3073743
2013-03-08,35.05,35.41,34.98,35.27,1968766
2013-03-11,35.08,35.66,34.97,35.26,2817204
2013-03-12,35.22,35.535,35.0,35.45,2247628
2013-03-13,35.5,36.105,35.26,35.99,2749443
2013-03-14,36.05,36.98,36.03,36.66,4344860
2013-03-15,36.7,36.78,35.81,36.0,3444622
2013-03-18,35.58,35.9008,35.05,35.26,2868879
2013-03-19,35.39,35.82,35.04,35.3,3339990
2013-03-20,35.68,36.08,35.35,35.93,2963569
2013-03-21,35.41,35.755,35.13,35.56,2781503
2013-03-22,35.77,36.04,35.38,35.8,1717608
2013-03-25,35.87,35.89,35.25,35.52,1288782
2013-03-26,35.67,35.98,35.56,35.79,955539
2013-03-27,35.47,35.73,35.25,35.64,1486027
2013-03-28,35.8,35.93,35.48,35.9,1473985
2013-04-01,35.82,36.0,35.19,35.34,1850042
2013-04-02,35.57,35.61,34.77,34.88,2301908
2013-04-03,34.88,35.075,34.1,34.31,1829679
2013-04-04,34.24,34.68,33.96,34.6,1534769
2013-04-05,34.01,34.42,33.33,34.33,1444850
2013-04-08,34.25,34.67,33.97,34.66,1235607
2013-04-09,34.71,35.13,34.22,34.78,1600750
2013-04-10,34.81,35.5,34.79,35.38,1481693
2013-04-11,35.24,35.92,35.01,35.63,1828184
2013-04-12,35.5,35.53,34.565,34.91,1612406
2013-04-15,34.68,34.73,33.725,33.78,2463398
2013-04-16,34.08,34.6,33.856,34.58,2249023
2013-04-17,33.75,33.77,32.28,32.405,6400977
2013-04-18,33.1,33.28,31.245,31.37,4105566
2013-04-19,31.25,31.88,30.83,31.26,3717980
2013-04-22,31.36,31.84,30.57,31.58,3639500
2013-04-23,31.86,32.42,31.72,32.37,2554104
2013-04-24,32.37,32.84,32.045,32.62,3206167
2013-04-25,32.81,33.19,32.53,32.63,2512560
2013-04-26,32.59,32.59,31.96,32.11,3094499
2013-04-29,32.35,32.79,32.2,32.53,2042968
2013-04-30,32.47,32.47,31.55,31.96,5251088
2013-05-01,32.06,32.0732,31.25,31.32,3706776
2013-05-02,31.55,32.23,31.31,32.09,3253577
2013-05-03,32.16,32.39,31.851,31.88,4690029
2013-05-06,32.05,32.9,31.96,32.8,3284721
2013-05-07,32.92,32.95,32.47,32.54,1609250
2013-05-08,32.63,33.52,32.575,33.5,2543620
2013-05-09,33.48,34.08,33.4008,33.87,2976811
2013-05-10,33.96,34.14,33.825,34.06,1564370
2013-05-13,33.83,34.13,33.59,33.62,1495190
2013-05-14,33.58,33.82,33.33,33.7,1593800
2013-05-15,33.66,34.19,33.54,34.18,1694682
2013-05-16,34.17,34.52,33.9,34.205,2474809
2013-05-17,34.49,34.78,34.36,34.43,2744300
2013-05-20,34.24,34.5523,34.24,34.44,1388037
2013-05-21,34.61,35.125,34.44,35.09,2073711
2013-05-22,34.98,35.24,34.23,34.56,3387282
2013-05-23,34.24,34.35,33.84,33.97,2851216
2013-05-24,33.86,34.1,33.675,34.1,1511767
2013-05-28,34.53,34.61,34.01,34.44,2091831
2013-05-29,34.37,34.7,34.15,34.43,2268226
2013-05-30,36.2,38.23,36.1,37.82,8260699
2013-05-31,37.33,38.266,37.11,37.73,3343187
2013-06-03,37.68,37.73,36.59,37.3,2720978
2013-06-04,37.4,38.19,37.39,37.8,3311910
2013-06-05,37.74,37.77,36.82,37.0,1501877
2013-06-06,37.19,37.22,36.4421,36.75,2973052
2013-06-07,36.76,37.325,36.15,37.29,3073226
2013-06-10,37.5,37.5099,36.79,36.83,2635930
2013-06-11,36.43,36.76,36.26,36.29,2169845
2013-06-12,36.66,36.68,35.72,35.98,2130615
2013-06-13,35.74,37.16,35.62,37.11,2910563
2013-06-14,37.14,37.8,37.05,37.59,2176149
2013-06-17,37.8,38.34,37.73,38.09,2472651
2013-06-18,38.04,38.8,37.9825,38.75,2738253
2013-06-19,38.69,38.87,38.07,38.07,2403434
2013-06-20,37.71,37.94,36.92,37.06,3163726
2013-06-21,37.04,37.48,36.615,37.38,8004002
2013-06-24,36.98,36.99,36.1,36.69,3685747
2013-06-25,37.13,37.59,36.81,37.1,2601868
2013-06-26,37.39,37.72,36.99,37.25,2066045
2013-06-27,37.48,37.84,37.29,37.32,2635886
2013-06-28,37.0,37.62,36.76,37.38,2299702
2013-07-01,37.85,37.87,37.34,37.61,2714655
2013-07-02,37.95,38.98,37.82,38.48,4037680
2013-07-03,38.39,38.87,38.13,38.59,1521724
2013-07-05,38.62,39.18,38.16,38.81,1444695
2013-07-08,38.93,39.03,37.19,37.27,2264288
2013-07-09,37.72,37.9699,37.38,37.58,1385454
2013-07-10,37.58,38.345,37.44,38.33,1736256
2013-07-11,37.53,38.6,37.48,38.59,1676899
2013-07-12,38.69,38.98,38.68,38.95,1834116
2013-07-15,38.98,39.08,37.96,38.01,2155097
2013-07-16,38.16,39.14,38.16,38.87,3125367
2013-07-17,39.01,39.74,38.86,38.92,2399117
2013-07-18,38.75,38.88,37.45,37.6,3704826
2013-07-19,37.75,38.15,37.505,37.85,1775699
2013-07-22,38.23,38.23,37.54,37.79,986863
2013-07-23,38.08,38.16,37.51,37.61,1650020
2013-07-24,37.27,37.99,36.86,36.89,2050595
2013-07-25,36.5,36.98,36.3,36.9,2551188
2013-07-26,36.53,36.85,36.35,36.78,1225595
2013-07-29,36.62,36.9,36.38,36.59,1309433
2013-07-30,36.75,37.0,36.34,36.85,1165148
2013-07-31,37.01,37.06,36.56,36.68,1319667
2013-08-01,37.03,37.52,36.83,37.4,1949883
2013-08-02,37.29,37.49,36.93,37.49,1518306
2013-08-05,37.22,37.4,36.96,37.02,1177324
2013-08-06,36.93,36.95,36.7,36.86,1073007
2013-08-07,36.97,37.31,36.68,37.29,1803533
2013-08-08,37.6,37.6,37.28,37.32,1939590
2013-08-09,37.18,37.24,36.74,36.83,1385765
2013-08-12,36.84,37.8,36.745,37.7,987998
2013-08-13,37.84,38.12,37.32,38.02,1375379
2013-08-14,37.9,37.94,37.15,37.22,1527135
2013-08-15,36.14,36.94,35.75,36.02,2511136
2013-08-16,35.97,36.355,35.89,36.25,1354331
2013-08-19,36.32,36.41,36.08,36.25,2324650
2013-08-20,36.34,37.1,36.28,36.79,1741569
2013-08-21,36.64,36.99,36.3799,36.59,1442544
2013-08-22,36.22,37.13,36.08,36.61,993976
2013-08-23,36.79,37.045,36.485,36.74,1832200
2013-08-26,36.95,37.715,36.85,37.48,1389981
2013-08-27,37.84,37.84,36.355,36.555,2945057
2013-08-28,38.93,39.45,37.9,38.28,6780591
2013-08-29,38.4,39.0,38.13,38.95,3595486
2013-08-30,38.96,38.99,38.29,38.51,2507278
2013-09-03,38.82,39.135,38.04,38.35,1735133
2013-09-04,38.58,39.13,38.16,38.98,1258780
2013-09-05,39.15,39.2,38.715,38.79,1437160
2013-09-06,39.18,39.18,38.23,38.56,1715547
2013-09-09,38.87,39.0,38.63,38.77,1636411
2013-09-10,39.0,39.67,38.95,39.66,2434406
2013-09-11,39.23,39.465,38.68,39.25,2392722
2013-09-12,39.33,39.455,38.61,39.03,2000557
2013-09-13,39.16,39.28,38.7,38.99,1447964
2013-09-16,39.37,39.68,39.04,39.28,2158817
2013-09-17,39.75,40.36,39.5,40.12,3724705
2013-09-18,40.22,40.68,39.84,40.67,2364759
2013-09-19,40.75,40.8,40.15,40.75,2501680
2013-09-20,41.155,42.58,40.83,41.62,8719198
2013-09-23,42.58,42.69,41.4875,41.87,2971146
2013-09-24,41.85,42.585,41.64,42.41,2978000
2013-09-25,42.52,42.6,41.42,42.21,2058429
2013-09-26,42.47,42.66,42.04,42.27,1687371
2013-09-27,42.11,42.77,41.845,42.7,2199835
2013-09-30,42.1,43.29,41.97,43.08,3522878
2013-10-01,43.14,43.635,42.975,43.42,2741057
2013-10-02,43.07,43.45,42.94,43.41,1736639
2013-10-03,43.39,43.59,42.826,43.3,2281651
2013-10-04,43.42,43.725,43.29,43.5,1724554
2013-10-07,43.5,43.5,42.88,43.0,1458667
2013-10-08,43.11,43.47,42.36,42.6,2172133
2013-10-09,42.97,43.06,41.83,42.2,2759419
2013-10-10,43.31,43.67,42.575,43.51,3246424
2013-10-11,43.25,43.5,42.775,43.29,1897907
2013-10-14,43.13,44.31,43.01,44.23,2018267
2013-10-15,44.27,44.44,43.58,43.74,1876104
2013-10-16,44.08,44.6,43.87,44.5,1701991
2013-10-17,44.09,45.13,44.0,45.1,2328631
